               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.040972,            0.022853,                   0,             0.80248,             0.71986,             0.78113,             0.43128,            0.039623,             0.01373,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.040548,            0.022527,                   0,             0.81541,              0.7047,             0.77792,             0.43079,            0.039476,            0.013701,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.040626,            0.022501,                   0,             0.79452,             0.71897,             0.77598,             0.43274,             0.03935,            0.013638,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.040518,            0.022765,                   0,             0.80294,             0.72075,             0.77925,             0.43325,            0.039297,            0.013587,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.040349,            0.022525,                   0,             0.80497,             0.72186,             0.78309,             0.43609,            0.039202,            0.013506,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.040295,            0.022546,                   0,               0.802,              0.7267,             0.78679,             0.43701,            0.039098,            0.013493,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.039791,            0.022231,                   0,             0.80486,             0.72587,             0.78551,             0.44041,            0.038947,            0.013454,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.039964,            0.022357,                   0,             0.80537,             0.73011,             0.78979,              0.4431,            0.038714,            0.013422,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.039754,            0.022226,                   0,             0.80557,             0.73133,             0.79277,             0.44645,            0.038541,            0.013428,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.039617,            0.022237,                   0,             0.80477,             0.73588,             0.79436,             0.44959,            0.038446,            0.013389,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.039334,            0.022305,                   0,              0.8135,             0.73078,              0.7937,             0.45229,            0.038416,            0.013347,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.039405,            0.022061,                   0,             0.81918,             0.72855,              0.7951,             0.45361,            0.038356,            0.013309,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.039112,            0.022178,                   0,             0.82425,             0.73011,             0.79743,              0.4532,            0.038232,            0.013304,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.039144,            0.021799,                   0,             0.80682,             0.73902,             0.79942,             0.45674,            0.038132,            0.013262,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.038923,            0.022001,                   0,             0.81234,             0.73898,             0.79948,             0.45818,            0.038011,            0.013248,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.038825,            0.021921,                   0,             0.80702,             0.74192,             0.80152,             0.46113,            0.037942,            0.013203,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.038533,            0.021814,                   0,             0.80758,             0.74482,             0.79985,             0.46283,             0.03786,            0.013181,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.038545,            0.021761,                   0,             0.81437,             0.74113,             0.80145,             0.46475,            0.037751,            0.013159,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.038268,             0.02156,                   0,             0.81837,             0.73808,             0.80124,             0.46554,            0.037643,             0.01313,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.038278,             0.02163,                   0,             0.81474,             0.74214,              0.8027,             0.46719,            0.037519,            0.013099,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.038001,            0.021376,                   0,             0.81977,             0.74437,             0.80468,             0.46958,             0.03741,            0.013064,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.037897,            0.021757,                   0,             0.82146,             0.74237,             0.80459,              0.4697,            0.037294,            0.013031,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.037524,             0.02171,                   0,              0.8298,             0.74281,             0.80533,             0.47149,            0.037232,            0.013006,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.037766,            0.021358,                   0,             0.83102,             0.74748,             0.80589,              0.4725,            0.037186,            0.012978,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.037464,            0.021466,                   0,             0.83472,             0.74849,             0.80739,             0.47351,             0.03715,            0.012949,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.037215,             0.02141,                   0,             0.83541,             0.74772,             0.80867,             0.47434,            0.037113,            0.012935,                   0,            0.002575,            0.002575,            0.002575
                  77,             0.03726,            0.021237,                   0,             0.83922,             0.74727,             0.80871,               0.476,            0.037038,            0.012915,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.036978,            0.021165,                   0,             0.83269,              0.7524,             0.81059,              0.4767,            0.036991,            0.012889,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.036708,            0.021204,                   0,             0.83243,             0.75728,             0.81301,              0.4792,            0.036922,            0.012854,                   0,            0.002278,            0.002278,            0.002278
